,,lightgcn,ncl,scl,scl w/o potential,scl w/o semantic,scl w/o struct
precision@4,std,0.0019344249791604672,0.0019692638218379976,0.015466964795977261,0.01387958933110055,0.013179984825484449,0.0011211601134539296
precision@5,mean,0.12290000000000001,0.12586,0.13022,0.1299,0.13342,0.12290000000000001
precision@5,std,0.001278671185254442,0.001760113632695347,0.013656024311636239,0.012838029443804843,0.011557984253320296,0.0013379088160259613
precision@10,mean,0.0858,0.08782,0.09002,0.08982,0.09224,0.0861
precision@10,std,0.0005787918451395091,0.0009576011695899346,0.006551869962079527,0.006109582637136518,0.0070037846911509185,0.0010977249200050008
precision@20,mean,0.05654,0.05944000000000001,0.05961999999999999,0.05954,0.06132,0.05652
precision@20,std,0.0006348228099241555,0.001173882447266336,0.0029928247526375446,0.0028788886744714527,0.003497427626127522,0.0006648308055437872
precision@30,mean,0.043879999999999995,0.04476,0.045340000000000005,0.04528,0.04626,0.043859999999999996
precision@30,std,0.0005263078946776305,0.0006949820141557632,0.0021489532335534915,0.001967739820199813,0.0022052210773525634,0.0003646916505762099
precision@50,mean,0.0309,0.031080000000000003,0.0315,0.03148,0.03176,0.030920000000000003
precision@50,std,0.00030822070014845034,0.000294957624075053,0.001022252415013045,0.000978263768111648,0.0010114346246792244,0.00031144823004794877
ndcg@1,mean,0.22970000000000002,0.22805999999999998,0.23962,0.23895999999999998,0.24294000000000002,0.22993999999999998
ndcg@1,std,0.005209126606255606,0.010949337879524958,0.028503368222018953,0.027113151790229027,0.02143135553342345,0.007024457274409181
ndcg@2,mean,0.25414,0.25195999999999996,0.26183999999999996,0.26182,0.26758000000000004,0.25522
ndcg@2,std,0.001734358671094297,0.006239631399369677,0.020023561121838437,0.019751632843894192,0.019638151644184847,0.003508845964131212
ndcg@3,mean,0.26846000000000003,0.26792,0.27804,0.27796000000000004,0.28234,0.26827999999999996
ndcg@3,std,0.0023765521244020985,0.005990575932245575,0.02353238194488608,0.023374836897826694,0.018506566402225987,0.0026023066690918683
ndcg@4,mean,0.28142,0.28208,0.29100000000000004,0.29008,0.29535999999999996,0.28218
ndcg@4,std,0.0040480859674665885,0.00479551874149189,0.026057436558495167,0.02416458151924009,0.019218948982709757,0.0034513765369776715
ndcg@5,mean,0.2912,0.29257999999999995,0.30218,0.30172,0.30682,0.29162
ndcg@5,std,0.0036769552621700543,0.004829803308624498,0.026260654980407472,0.025099143411678418,0.019329433514720475,0.003822564584150286
ndcg@10,mean,0.3323,0.33248,0.34248,0.34172,0.34794,0.33274
ndcg@10,std,0.002785677655436831,0.0043551119388599005,0.023623018435415914,0.021951241422753315,0.01992581240501877,0.00260249879923123
ndcg@20,mean,0.36894,0.37376,0.38130000000000003,0.38082,0.38794,0.36928
ndcg@20,std,0.002311493023999859,0.005234787483747546,0.02244682605626017,0.021527935339925204,0.020009072942043075,0.0022576536492562326
ndcg@30,mean,0.3907,0.39096,0.40046,0.39984000000000003,0.40594,0.39094
ndcg@30,std,0.002379075450674042,0.005585964554130295,0.0232563539704744,0.021849553771187188,0.019277914825001154,0.0036841552627434127
ndcg@50,mean,0.41167999999999993,0.41078000000000003,0.42089999999999994,0.4204,0.42554,0.4124
ndcg@50,std,0.0028639134065121382,0.004969607630386917,0.02252409820614358,0.02142335174523352,0.018548396157080548,0.003876209488662866
map@1,mean,0.22970000000000002,0.22805999999999998,0.23962,0.23895999999999998,0.24294000000000002,0.22993999999999998
map@1,std,0.005209126606255606,0.010949337879524958,0.028503368222018953,0.027113151790229027,0.02143135553342345,0.007024457274409181
map@2,mean,0.22726000000000002,0.22538,0.23502,0.23479999999999998,0.24058000000000002,0.22820000000000001
map@2,std,0.003326108837666017,0.0063479918084383274,0.02075155415866484,0.020155768405099313,0.019076870812583496,0.004597825573029056
map@3,mean,0.22902,0.22816,0.23765999999999998,0.23742000000000002,0.24184,0.22886
map@3,std,0.003973914946246323,0.00618045305782674,0.022788659460354386,0.022263580125397628,0.017858555372705816,0.0037766387171663603
map@4,mean,0.23274,0.23279999999999998,0.24164,0.24101999999999996,0.24566,0.23321999999999998
map@4,std,0.0049772482357222205,0.005594193418179241,0.02439606525651216,0.023125245944638086,0.01807921458471026,0.004525704365068494
map@5,mean,0.23616,0.23674,0.24576000000000003,0.24535999999999997,0.24994,0.23662
map@5,std,0.004696062180167543,0.005509355679206054,0.024615401682686402,0.02359264715965548,0.017839086299471726,0.004736243236997013
map@10,mean,0.25198,0.25202,0.26132,0.26074,0.2657,0.25246
map@10,std,0.0045312249999310385,0.005129034996956048,0.02369877633971848,0.022445779113231965,0.018147038325853626,0.00399224247760578
map@20,mean,0.26338,0.26528,0.27374,0.2733,0.27866,0.26382000000000005
map@20,std,0.0038964086028033655,0.005316671891324493,0.023642292613027197,0.0226412234651752,0.018216421163335026,0.00367926623119338
map@30,mean,0.26912,0.27014,0.27904,0.27856,0.28382,0.26955999999999997
map@30,std,0.003808805587057464,0.005336478239438442,0.023887925820380473,0.022784709785292418,0.018118278063877908,0.003970264474817778
map@50,mean,0.2739,0.27454,0.28365999999999997,0.28315999999999997,0.28814,0.27436
map@50,std,0.003940177660969098,0.005350513994000957,0.02371851597381253,0.022643166739659014,0.017971032246368066,0.0040228099631973695
training_time,mean,6.279340648651123,11.741597604751586,26.872654914855957,25.450657463073732,29.960894870758057,8.543543767929076
training_time,std,1.7084087264012209,0.7747182113680269,31.323548823893834,28.098311350657223,22.940966728593295,2.52755300591981
num_parameters,mean,144448.0,144448.0,144448.0,144448.0,144448.0,144448.0
num_parameters,std,0.0,0.0,0.0,0.0,0.0,0.0
recall_avg,,0.4313333333333333,0.43124444444444443,0.4399,0.4393511111111111,0.4447911111111112,0.43172222222222223
precision_avg,,0.11686000000000002,0.11822888888888888,0.12242444444444445,0.1221711111111111,0.12524666666666665,0.11707333333333333
ndcg_avg,,0.3142822222222222,0.31450888888888884,0.3242022222222222,0.3237022222222222,0.3291555555555556,0.3147333333333333
map_avg,,0.2459177777777778,0.24590222222222222,0.25527333333333335,0.25481333333333334,0.25969777777777775,0.24633777777777777
